Dataset,#TrainRelease,Classifier,FeatSel,Sampling,CostSens,TP,FP,FN,TN,Precision,Recall,AUC,Kappa
BOOKKEEPER,6,ibk,no selection,undersampling,sensitive threshold,830,124,15,85,0.407,0.850,0.860,0.484
BOOKKEEPER,7,random forest,no selection,undersampling,sensitive threshold,749,312,0,49,0.136,1.000,0.853,0.175
BOOKKEEPER,7,naive bayes,no selection,undersampling,sensitive threshold,822,239,23,26,0.098,0.531,0.653,0.098
BOOKKEEPER,7,ibk,no selection,undersampling,sensitive threshold,864,197,9,40,0.169,0.816,0.815,0.223
BOOKKEEPER,8,random forest,no selection,undersampling,sensitive threshold,758,307,0,52,0.145,1.000,0.856,0.187
BOOKKEEPER,8,naive bayes,no selection,undersampling,sensitive threshold,910,155,15,37,0.193,0.712,0.783,0.248
BOOKKEEPER,8,ibk,no selection,undersampling,sensitive threshold,923,142,5,47,0.249,0.904,0.885,0.342
BOOKKEEPER,9,random forest,no selection,undersampling,sensitive threshold,922,352,0,49,0.122,1.000,0.862,0.162
BOOKKEEPER,9,naive bayes,no selection,undersampling,sensitive threshold,1127,147,12,37,0.201,0.755,0.820,0.275
BOOKKEEPER,9,ibk,no selection,undersampling,sensitive threshold,1099,175,9,40,0.186,0.816,0.839,0.258
BOOKKEEPER,10,random forest,no selection,undersampling,sensitive threshold,926,345,0,60,0.148,1.000,0.864,0.195
BOOKKEEPER,10,naive bayes,no selection,undersampling,sensitive threshold,1132,139,17,43,0.236,0.717,0.804,0.308
BOOKKEEPER,10,ibk,no selection,undersampling,sensitive threshold,1072,199,8,52,0.207,0.867,0.855,0.282
BOOKKEEPER,11,random forest,no selection,undersampling,sensitive threshold,940,367,0,67,0.154,1.000,0.860,0.200
BOOKKEEPER,11,naive bayes,no selection,undersampling,sensitive threshold,1118,189,15,52,0.216,0.776,0.816,0.283
BOOKKEEPER,11,ibk,no selection,undersampling,sensitive threshold,1102,205,10,57,0.218,0.851,0.847,0.291
BOOKKEEPER,12,random forest,no selection,undersampling,sensitive threshold,941,365,0,71,0.163,1.000,0.860,0.210
BOOKKEEPER,12,naive bayes,no selection,undersampling,sensitive threshold,1150,156,19,52,0.250,0.732,0.806,0.321
BOOKKEEPER,12,ibk,no selection,undersampling,sensitive threshold,1131,175,6,65,0.271,0.915,0.891,0.368
BOOKKEEPER,13,random forest,no selection,undersampling,sensitive threshold,969,329,1,79,0.194,0.988,0.867,0.251
BOOKKEEPER,13,naive bayes,no selection,undersampling,sensitive threshold,1146,152,26,54,0.262,0.675,0.779,0.321
BOOKKEEPER,13,ibk,no selection,undersampling,sensitive threshold,1178,120,6,74,0.381,0.925,0.916,0.499
BOOKKEEPER,14,random forest,no selection,undersampling,sensitive threshold,993,308,0,81,0.208,1.000,0.882,0.274
BOOKKEEPER,14,naive bayes,no selection,undersampling,sensitive threshold,1152,149,26,55,0.270,0.679,0.782,0.330
BOOKKEEPER,14,ibk,no selection,undersampling,sensitive threshold,1169,132,3,78,0.371,0.963,0.931,0.493
BOOKKEEPER,15,random forest,no selection,undersampling,sensitive threshold,1011,311,0,81,0.207,1.000,0.882,0.273
BOOKKEEPER,15,naive bayes,no selection,undersampling,sensitive threshold,1189,133,24,57,0.300,0.704,0.802,0.370
BOOKKEEPER,15,ibk,no selection,undersampling,sensitive threshold,1195,127,5,76,0.374,0.938,0.921,0.493
BOOKKEEPER,16,random forest,no selection,undersampling,sensitive threshold,1036,297,0,78,0.208,1.000,0.889,0.278
BOOKKEEPER,16,naive bayes,no selection,undersampling,sensitive threshold,1186,147,21,57,0.279,0.731,0.810,0.352
BOOKKEEPER,16,ibk,no selection,undersampling,sensitive threshold,1186,147,12,66,0.310,0.846,0.868,0.405
BOOKKEEPER,17,random forest,no selection,undersampling,sensitive threshold,1069,275,0,72,0.207,1.000,0.898,0.283
BOOKKEEPER,17,naive bayes,no selection,undersampling,sensitive threshold,1204,140,18,54,0.278,0.750,0.823,0.358
BOOKKEEPER,17,ibk,no selection,undersampling,sensitive threshold,1217,127,5,67,0.345,0.931,0.918,0.464
BOOKKEEPER,18,random forest,no selection,undersampling,sensitive threshold,1058,250,3,105,0.296,0.972,0.891,0.381
BOOKKEEPER,18,naive bayes,no selection,undersampling,sensitive threshold,1182,126,43,65,0.340,0.602,0.753,0.374
BOOKKEEPER,18,ibk,no selection,undersampling,sensitive threshold,1197,111,29,79,0.416,0.731,0.823,0.480
BOOKKEEPER,19,random forest,no selection,undersampling,sensitive threshold,1034,326,3,102,0.238,0.971,0.866,0.302
BOOKKEEPER,19,naive bayes,no selection,undersampling,sensitive threshold,1219,141,42,63,0.309,0.600,0.748,0.346
BOOKKEEPER,19,ibk,no selection,undersampling,sensitive threshold,1195,165,28,77,0.318,0.733,0.806,0.382
BOOKKEEPER,20,random forest,no selection,undersampling,sensitive threshold,1016,370,3,126,0.254,0.977,0.855,0.310
BOOKKEEPER,20,naive bayes,no selection,undersampling,sensitive threshold,1248,138,55,74,0.349,0.574,0.737,0.367
BOOKKEEPER,20,ibk,no selection,undersampling,sensitive threshold,1206,180,26,103,0.364,0.798,0.834,0.434
BOOKKEEPER,21,random forest,no selection,undersampling,sensitive threshold,1040,414,0,104,0.201,1.000,0.858,0.251
BOOKKEEPER,21,naive bayes,no selection,undersampling,sensitive threshold,1291,163,44,60,0.269,0.577,0.732,0.304
BOOKKEEPER,21,ibk,no selection,undersampling,sensitive threshold,1212,242,22,82,0.253,0.788,0.811,0.314
BOOKKEEPER,22,random forest,no selection,undersampling,sensitive threshold,1042,424,0,96,0.185,1.000,0.855,0.232
BOOKKEEPER,22,naive bayes,no selection,undersampling,sensitive threshold,1300,166,40,56,0.252,0.583,0.735,0.291
BOOKKEEPER,22,ibk,no selection,undersampling,sensitive threshold,1227,239,23,73,0.234,0.760,0.799,0.291
BOOKKEEPER,1,random forest,no selection,undersampling,sensitive learning,621,184,0,84,0.313,1.000,0.994,0.389
BOOKKEEPER,1,naive bayes,no selection,undersampling,sensitive learning,720,85,18,66,0.437,0.786,0.892,0.501
BOOKKEEPER,1,ibk,no selection,undersampling,sensitive learning,702,103,0,84,0.449,1.000,0.931,0.563
BOOKKEEPER,2,random forest,no selection,undersampling,sensitive learning,735,105,11,119,0.531,0.915,0.952,0.605
BOOKKEEPER,2,naive bayes,no selection,undersampling,sensitive learning,713,127,53,77,0.377,0.592,0.732,0.356
BOOKKEEPER,2,ibk,no selection,undersampling,sensitive learning,705,135,22,108,0.444,0.831,0.832,0.490
BOOKKEEPER,3,random forest,no selection,undersampling,sensitive learning,713,125,0,132,0.514,1.000,0.980,0.608
BOOKKEEPER,3,naive bayes,no selection,undersampling,sensitive learning,716,122,51,81,0.399,0.614,0.830,0.382
BOOKKEEPER,3,ibk,no selection,undersampling,sensitive learning,742,96,25,107,0.527,0.811,0.846,0.567
BOOKKEEPER,4,random forest,no selection,undersampling,sensitive learning,716,139,5,165,0.543,0.971,0.961,0.614
BOOKKEEPER,4,naive bayes,no selection,undersampling,sensitive learning,739,116,70,100,0.463,0.588,0.879,0.408
BOOKKEEPER,4,ibk,no selection,undersampling,sensitive learning,779,76,30,140,0.648,0.824,0.873,0.663
BOOKKEEPER,5,random forest,no selection,undersampling,sensitive learning,735,120,0,175,0.593,1.000,0.984,0.675
BOOKKEEPER,5,naive bayes,no selection,undersampling,sensitive learning,717,138,69,106,0.434,0.606,0.892,0.384
BOOKKEEPER,5,ibk,no selection,undersampling,sensitive learning,797,58,22,153,0.725,0.874,0.903,0.745
BOOKKEEPER,6,random forest,no selection,undersampling,sensitive learning,745,209,0,100,0.324,1.000,0.945,0.403
BOOKKEEPER,6,naive bayes,no selection,undersampling,sensitive learning,796,158,35,65,0.291,0.650,0.864,0.312
BOOKKEEPER,6,ibk,no selection,undersampling,sensitive learning,830,124,15,85,0.407,0.850,0.865,0.484
BOOKKEEPER,7,random forest,no selection,undersampling,sensitive learning,774,287,0,49,0.146,1.000,0.892,0.192
BOOKKEEPER,7,naive bayes,no selection,undersampling,sensitive learning,822,239,23,26,0.098,0.531,0.809,0.098
BOOKKEEPER,7,ibk,no selection,undersampling,sensitive learning,864,197,9,40,0.169,0.816,0.818,0.223
BOOKKEEPER,8,random forest,no selection,undersampling,sensitive learning,804,261,0,52,0.166,1.000,0.954,0.223
BOOKKEEPER,8,naive bayes,no selection,undersampling,sensitive learning,910,155,15,37,0.193,0.712,0.895,0.248
BOOKKEEPER,8,ibk,no selection,undersampling,sensitive learning,923,142,5,47,0.249,0.904,0.888,0.342
BOOKKEEPER,9,random forest,no selection,undersampling,sensitive learning,987,287,3,46,0.138,0.939,0.942,0.188
BOOKKEEPER,9,naive bayes,no selection,undersampling,sensitive learning,1127,147,12,37,0.201,0.755,0.893,0.275
BOOKKEEPER,9,ibk,no selection,undersampling,sensitive learning,1099,175,9,40,0.186,0.816,0.846,0.258
BOOKKEEPER,10,random forest,no selection,undersampling,sensitive learning,962,309,1,59,0.160,0.983,0.958,0.215
BOOKKEEPER,10,naive bayes,no selection,undersampling,sensitive learning,1132,139,17,43,0.236,0.717,0.897,0.308
BOOKKEEPER,10,ibk,no selection,undersampling,sensitive learning,1072,199,8,52,0.207,0.867,0.858,0.282
BOOKKEEPER,11,random forest,no selection,undersampling,sensitive learning,982,325,2,65,0.167,0.970,0.941,0.220
BOOKKEEPER,11,naive bayes,no selection,undersampling,sensitive learning,1118,189,15,52,0.216,0.776,0.909,0.283
BOOKKEEPER,11,ibk,no selection,undersampling,sensitive learning,1102,205,10,57,0.218,0.851,0.849,0.291
BOOKKEEPER,12,random forest,no selection,undersampling,sensitive learning,977,329,0,71,0.178,1.000,0.982,0.234
BOOKKEEPER,12,naive bayes,no selection,undersampling,sensitive learning,1150,156,19,52,0.250,0.732,0.912,0.321
BOOKKEEPER,12,ibk,no selection,undersampling,sensitive learning,1131,175,6,65,0.271,0.915,0.895,0.368
BOOKKEEPER,13,random forest,no selection,undersampling,sensitive learning,1012,286,0,80,0.219,1.000,0.981,0.291
BOOKKEEPER,13,naive bayes,no selection,undersampling,sensitive learning,1146,152,26,54,0.262,0.675,0.912,0.321
BOOKKEEPER,13,ibk,no selection,undersampling,sensitive learning,1178,120,6,74,0.381,0.925,0.917,0.499
BOOKKEEPER,14,random forest,no selection,undersampling,sensitive learning,1019,282,0,81,0.223,1.000,0.985,0.298
BOOKKEEPER,14,naive bayes,no selection,undersampling,sensitive learning,1152,149,26,55,0.270,0.679,0.909,0.330
BOOKKEEPER,14,ibk,no selection,undersampling,sensitive learning,1169,132,3,78,0.371,0.963,0.931,0.493
BOOKKEEPER,15,random forest,no selection,undersampling,sensitive learning,1032,290,0,81,0.218,1.000,0.978,0.291
BOOKKEEPER,15,naive bayes,no selection,undersampling,sensitive learning,1189,133,24,57,0.300,0.704,0.915,0.370
BOOKKEEPER,15,ibk,no selection,undersampling,sensitive learning,1195,127,5,76,0.374,0.938,0.922,0.493
BOOKKEEPER,16,random forest,no selection,undersampling,sensitive learning,1058,275,2,76,0.217,0.974,0.977,0.290
BOOKKEEPER,16,naive bayes,no selection,undersampling,sensitive learning,1186,147,21,57,0.279,0.731,0.915,0.352
BOOKKEEPER,16,ibk,no selection,undersampling,sensitive learning,1186,147,12,66,0.310,0.846,0.870,0.405
BOOKKEEPER,17,random forest,no selection,undersampling,sensitive learning,1107,237,0,72,0.233,1.000,0.982,0.322
BOOKKEEPER,17,naive bayes,no selection,undersampling,sensitive learning,1204,140,18,54,0.278,0.750,0.924,0.358
BOOKKEEPER,17,ibk,no selection,undersampling,sensitive learning,1217,127,5,67,0.345,0.931,0.919,0.464
BOOKKEEPER,18,random forest,no selection,undersampling,sensitive learning,1100,208,6,102,0.329,0.944,0.968,0.423
BOOKKEEPER,18,naive bayes,no selection,undersampling,sensitive learning,1182,126,43,65,0.340,0.602,0.892,0.374
BOOKKEEPER,18,ibk,no selection,undersampling,sensitive learning,1197,111,29,79,0.416,0.731,0.823,0.480
BOOKKEEPER,19,random forest,no selection,undersampling,sensitive learning,1083,277,6,99,0.263,0.943,0.953,0.337
BOOKKEEPER,19,naive bayes,no selection,undersampling,sensitive learning,1219,141,42,63,0.309,0.600,0.889,0.346
BOOKKEEPER,19,ibk,no selection,undersampling,sensitive learning,1195,165,28,77,0.318,0.733,0.808,0.382
BOOKKEEPER,20,random forest,no selection,undersampling,sensitive learning,1063,323,5,124,0.277,0.961,0.947,0.344
BOOKKEEPER,20,naive bayes,no selection,undersampling,sensitive learning,1248,138,55,74,0.349,0.574,0.880,0.367
BOOKKEEPER,20,ibk,no selection,undersampling,sensitive learning,1206,180,26,103,0.364,0.798,0.837,0.434
BOOKKEEPER,21,random forest,no selection,undersampling,sensitive learning,1107,347,1,103,0.229,0.990,0.940,0.295
BOOKKEEPER,21,naive bayes,no selection,undersampling,sensitive learning,1291,163,44,60,0.269,0.577,0.857,0.304
BOOKKEEPER,21,ibk,no selection,undersampling,sensitive learning,1212,242,22,82,0.253,0.788,0.809,0.314
BOOKKEEPER,22,random forest,no selection,undersampling,sensitive learning,1127,339,0,96,0.221,1.000,0.961,0.290
BOOKKEEPER,22,naive bayes,no selection,undersampling,sensitive learning,1300,166,40,56,0.252,0.583,0.866,0.291
BOOKKEEPER,22,ibk,no selection,undersampling,sensitive learning,1227,239,23,73,0.234,0.760,0.804,0.291
BOOKKEEPER,1,random forest,no selection,smote,no cost sensitive,804,1,2,82,0.988,0.976,0.999,0.980
BOOKKEEPER,1,naive bayes,no selection,smote,no cost sensitive,742,63,18,66,0.512,0.786,0.899,0.571
BOOKKEEPER,1,ibk,no selection,smote,no cost sensitive,804,1,1,83,0.988,0.988,0.996,0.987
BOOKKEEPER,2,random forest,no selection,smote,no cost sensitive,825,15,32,98,0.867,0.754,0.978,0.779
BOOKKEEPER,2,naive bayes,no selection,smote,no cost sensitive,780,60,68,62,0.508,0.477,0.788,0.416
BOOKKEEPER,2,ibk,no selection,smote,no cost sensitive,830,10,40,90,0.900,0.692,0.876,0.754
BOOKKEEPER,3,random forest,no selection,smote,no cost sensitive,838,0,13,119,1.000,0.902,0.999,0.941
BOOKKEEPER,3,naive bayes,no selection,smote,no cost sensitive,786,52,68,64,0.552,0.485,0.868,0.446
BOOKKEEPER,3,ibk,no selection,smote,no cost sensitive,838,0,42,90,1.000,0.682,0.882,0.787
BOOKKEEPER,4,random forest,no selection,smote,no cost sensitive,841,14,29,141,0.910,0.829,0.989,0.843
BOOKKEEPER,4,naive bayes,no selection,smote,no cost sensitive,790,65,81,89,0.578,0.524,0.898,0.465
BOOKKEEPER,4,ibk,no selection,smote,no cost sensitive,844,11,50,120,0.916,0.706,0.885,0.763
BOOKKEEPER,5,random forest,no selection,smote,no cost sensitive,843,12,11,164,0.932,0.937,0.995,0.921
BOOKKEEPER,5,naive bayes,no selection,smote,no cost sensitive,793,62,82,93,0.600,0.531,0.892,0.481
BOOKKEEPER,5,ibk,no selection,smote,no cost sensitive,844,11,43,132,0.923,0.754,0.902,0.800
BOOKKEEPER,6,random forest,no selection,smote,no cost sensitive,861,93,13,87,0.483,0.870,0.954,0.569
BOOKKEEPER,6,naive bayes,no selection,smote,no cost sensitive,852,102,45,55,0.350,0.550,0.870,0.353
BOOKKEEPER,6,ibk,no selection,smote,no cost sensitive,882,72,22,78,0.520,0.780,0.894,0.576
BOOKKEEPER,7,random forest,no selection,smote,no cost sensitive,956,105,18,31,0.228,0.633,0.914,0.289
BOOKKEEPER,7,naive bayes,no selection,smote,no cost sensitive,912,149,26,23,0.134,0.469,0.817,0.150
BOOKKEEPER,7,ibk,no selection,smote,no cost sensitive,950,111,21,28,0.201,0.571,0.807,0.249
BOOKKEEPER,8,random forest,no selection,smote,no cost sensitive,1014,51,17,35,0.407,0.673,0.940,0.477
BOOKKEEPER,8,naive bayes,no selection,smote,no cost sensitive,946,119,21,31,0.207,0.596,0.900,0.255
BOOKKEEPER,8,ibk,no selection,smote,no cost sensitive,989,76,24,28,0.269,0.538,0.813,0.317
BOOKKEEPER,9,random forest,no selection,smote,no cost sensitive,1219,55,15,34,0.382,0.694,0.928,0.467
BOOKKEEPER,9,naive bayes,no selection,smote,no cost sensitive,1164,110,19,30,0.214,0.612,0.891,0.278
BOOKKEEPER,9,ibk,no selection,smote,no cost sensitive,1196,78,18,31,0.284,0.633,0.843,0.360
BOOKKEEPER,10,random forest,no selection,smote,no cost sensitive,1261,10,15,45,0.818,0.750,0.964,0.773
BOOKKEEPER,10,naive bayes,no selection,smote,no cost sensitive,1175,96,23,37,0.278,0.617,0.899,0.343
BOOKKEEPER,10,ibk,no selection,smote,no cost sensitive,1203,68,19,41,0.376,0.683,0.864,0.453
BOOKKEEPER,11,random forest,no selection,smote,no cost sensitive,1265,42,26,41,0.494,0.612,0.946,0.521
BOOKKEEPER,11,naive bayes,no selection,smote,no cost sensitive,1179,128,20,47,0.269,0.701,0.912,0.342
BOOKKEEPER,11,ibk,no selection,smote,no cost sensitive,1255,52,29,38,0.422,0.567,0.839,0.454
BOOKKEEPER,12,random forest,no selection,smote,no cost sensitive,1302,4,6,65,0.942,0.915,0.986,0.925
BOOKKEEPER,12,naive bayes,no selection,smote,no cost sensitive,1199,107,24,47,0.305,0.662,0.914,0.374
BOOKKEEPER,12,ibk,no selection,smote,no cost sensitive,1285,21,11,60,0.741,0.845,0.941,0.777
BOOKKEEPER,13,random forest,no selection,smote,no cost sensitive,1296,2,20,60,0.968,0.750,0.984,0.837
BOOKKEEPER,13,naive bayes,no selection,smote,no cost sensitive,1197,101,28,52,0.340,0.650,0.915,0.401
BOOKKEEPER,13,ibk,no selection,smote,no cost sensitive,1273,25,24,56,0.691,0.700,0.892,0.677
BOOKKEEPER,14,random forest,no selection,smote,no cost sensitive,1296,5,14,67,0.931,0.827,0.987,0.869
BOOKKEEPER,14,naive bayes,no selection,smote,no cost sensitive,1199,102,29,52,0.338,0.642,0.914,0.396
BOOKKEEPER,14,ibk,no selection,smote,no cost sensitive,1277,24,23,58,0.707,0.716,0.893,0.694
BOOKKEEPER,15,random forest,no selection,smote,no cost sensitive,1301,21,15,66,0.759,0.815,0.979,0.772
BOOKKEEPER,15,naive bayes,no selection,smote,no cost sensitive,1222,100,30,51,0.338,0.630,0.915,0.394
BOOKKEEPER,15,ibk,no selection,smote,no cost sensitive,1288,34,22,59,0.634,0.728,0.897,0.657
BOOKKEEPER,16,random forest,no selection,smote,no cost sensitive,1320,13,16,62,0.827,0.795,0.994,0.800
BOOKKEEPER,16,naive bayes,no selection,smote,no cost sensitive,1231,102,30,48,0.320,0.615,0.919,0.376
BOOKKEEPER,16,ibk,no selection,smote,no cost sensitive,1301,32,19,59,0.648,0.756,0.907,0.679
BOOKKEEPER,17,random forest,no selection,smote,no cost sensitive,1339,5,9,63,0.926,0.875,0.998,0.895
BOOKKEEPER,17,naive bayes,no selection,smote,no cost sensitive,1243,101,25,47,0.318,0.653,0.924,0.385
BOOKKEEPER,17,ibk,no selection,smote,no cost sensitive,1324,20,12,60,0.750,0.833,0.938,0.778
BOOKKEEPER,18,random forest,no selection,smote,no cost sensitive,1308,0,41,67,1.000,0.620,0.915,0.751
BOOKKEEPER,18,naive bayes,no selection,smote,no cost sensitive,1217,91,52,56,0.381,0.519,0.890,0.385
BOOKKEEPER,18,ibk,no selection,smote,no cost sensitive,1294,14,44,64,0.821,0.593,0.833,0.667
BOOKKEEPER,19,random forest,no selection,smote,no cost sensitive,1338,22,37,68,0.756,0.648,0.962,0.676
BOOKKEEPER,19,naive bayes,no selection,smote,no cost sensitive,1257,103,48,57,0.356,0.543,0.888,0.376
BOOKKEEPER,19,ibk,no selection,smote,no cost sensitive,1324,36,47,58,0.617,0.552,0.817,0.553
BOOKKEEPER,20,random forest,no selection,smote,no cost sensitive,1376,10,46,83,0.892,0.643,0.961,0.728
BOOKKEEPER,20,naive bayes,no selection,smote,no cost sensitive,1288,98,63,66,0.402,0.512,0.880,0.393
BOOKKEEPER,20,ibk,no selection,smote,no cost sensitive,1348,38,58,71,0.651,0.550,0.821,0.563
BOOKKEEPER,21,random forest,no selection,smote,no cost sensitive,1394,60,34,70,0.538,0.673,0.961,0.566
BOOKKEEPER,21,naive bayes,no selection,smote,no cost sensitive,1331,123,51,53,0.301,0.510,0.857,0.322
BOOKKEEPER,21,ibk,no selection,smote,no cost sensitive,1387,67,47,57,0.460,0.548,0.800,0.461
BOOKKEEPER,22,random forest,no selection,smote,no cost sensitive,1458,8,20,76,0.905,0.792,0.987,0.835
BOOKKEEPER,22,naive bayes,no selection,smote,no cost sensitive,1344,122,44,52,0.299,0.542,0.871,0.332
BOOKKEEPER,22,ibk,no selection,smote,no cost sensitive,1418,48,36,60,0.556,0.625,0.831,0.560
BOOKKEEPER,1,random forest,no selection,smote,sensitive threshold,760,45,0,84,0.651,1.000,0.972,0.761
BOOKKEEPER,1,naive bayes,no selection,smote,sensitive threshold,700,105,17,67,0.390,0.798,0.834,0.454
BOOKKEEPER,1,ibk,no selection,smote,sensitive threshold,804,1,1,83,0.988,0.988,0.993,0.987
BOOKKEEPER,2,random forest,no selection,smote,sensitive threshold,803,37,10,120,0.764,0.923,0.940,0.808
BOOKKEEPER,2,naive bayes,no selection,smote,sensitive threshold,770,70,63,67,0.489,0.515,0.716,0.422
BOOKKEEPER,2,ibk,no selection,smote,sensitive threshold,830,10,40,90,0.900,0.692,0.840,0.754
BOOKKEEPER,3,random forest,no selection,smote,sensitive threshold,808,30,1,131,0.814,0.992,0.978,0.876
BOOKKEEPER,3,naive bayes,no selection,smote,sensitive threshold,776,62,62,70,0.530,0.530,0.728,0.456
BOOKKEEPER,3,ibk,no selection,smote,sensitive threshold,838,0,42,90,1.000,0.682,0.841,0.787
BOOKKEEPER,4,random forest,no selection,smote,sensitive threshold,799,56,6,164,0.745,0.965,0.950,0.804
BOOKKEEPER,4,naive bayes,no selection,smote,sensitive threshold,759,96,73,97,0.503,0.571,0.729,0.435
BOOKKEEPER,4,ibk,no selection,smote,sensitive threshold,844,11,50,120,0.916,0.706,0.847,0.763
BOOKKEEPER,5,random forest,no selection,smote,sensitive threshold,812,43,2,173,0.801,0.989,0.969,0.858
BOOKKEEPER,5,naive bayes,no selection,smote,sensitive threshold,760,95,75,100,0.513,0.571,0.730,0.440
BOOKKEEPER,5,ibk,no selection,smote,sensitive threshold,844,11,43,132,0.923,0.754,0.871,0.800
BOOKKEEPER,6,random forest,no selection,smote,sensitive threshold,826,128,1,99,0.436,0.990,0.928,0.546
BOOKKEEPER,6,naive bayes,no selection,smote,sensitive threshold,815,139,39,61,0.305,0.610,0.732,0.321
BOOKKEEPER,6,ibk,no selection,smote,sensitive threshold,882,72,22,78,0.520,0.780,0.852,0.576
BOOKKEEPER,7,random forest,no selection,smote,sensitive threshold,854,207,5,44,0.175,0.898,0.851,0.237
BOOKKEEPER,7,naive bayes,no selection,smote,sensitive threshold,890,171,24,25,0.128,0.510,0.675,0.144
BOOKKEEPER,7,ibk,no selection,smote,sensitive threshold,949,112,21,28,0.200,0.571,0.733,0.247
BOOKKEEPER,8,random forest,no selection,smote,sensitive threshold,926,139,5,47,0.253,0.904,0.887,0.347
BOOKKEEPER,8,naive bayes,no selection,smote,sensitive threshold,929,136,15,37,0.214,0.712,0.792,0.277
BOOKKEEPER,8,ibk,no selection,smote,sensitive threshold,988,77,24,28,0.267,0.538,0.733,0.314
BOOKKEEPER,9,random forest,no selection,smote,sensitive threshold,1094,180,9,40,0.182,0.816,0.838,0.252
BOOKKEEPER,9,naive bayes,no selection,smote,sensitive threshold,1142,132,13,36,0.214,0.735,0.816,0.291
BOOKKEEPER,9,ibk,no selection,smote,sensitive threshold,1194,80,18,31,0.279,0.633,0.785,0.354
BOOKKEEPER,10,random forest,no selection,smote,sensitive threshold,1146,125,8,52,0.294,0.867,0.884,0.398
BOOKKEEPER,10,naive bayes,no selection,smote,sensitive threshold,1142,129,19,41,0.241,0.683,0.791,0.311
BOOKKEEPER,10,ibk,no selection,smote,sensitive threshold,1202,69,19,41,0.373,0.683,0.815,0.450
BOOKKEEPER,11,random forest,no selection,smote,sensitive threshold,1140,167,6,61,0.268,0.910,0.891,0.366
BOOKKEEPER,11,naive bayes,no selection,smote,sensitive threshold,1138,169,17,50,0.228,0.746,0.808,0.297
BOOKKEEPER,11,ibk,no selection,smote,sensitive threshold,1255,52,29,38,0.422,0.567,0.764,0.454
BOOKKEEPER,12,random forest,no selection,smote,sensitive threshold,1221,85,3,68,0.444,0.958,0.946,0.577
BOOKKEEPER,12,naive bayes,no selection,smote,sensitive threshold,1164,142,21,50,0.260,0.704,0.798,0.330
BOOKKEEPER,12,ibk,no selection,smote,sensitive threshold,1285,21,11,60,0.741,0.845,0.914,0.777
BOOKKEEPER,13,random forest,no selection,smote,sensitive threshold,1244,54,5,75,0.581,0.938,0.948,0.696
BOOKKEEPER,13,naive bayes,no selection,smote,sensitive threshold,1170,128,26,54,0.297,0.675,0.788,0.361
BOOKKEEPER,13,ibk,no selection,smote,sensitive threshold,1273,25,24,56,0.691,0.700,0.840,0.677
BOOKKEEPER,14,random forest,no selection,smote,sensitive threshold,1266,35,5,76,0.685,0.938,0.956,0.777
BOOKKEEPER,14,naive bayes,no selection,smote,sensitive threshold,1178,123,27,54,0.305,0.667,0.786,0.368
BOOKKEEPER,14,ibk,no selection,smote,sensitive threshold,1277,24,23,58,0.707,0.716,0.849,0.694
BOOKKEEPER,15,random forest,no selection,smote,sensitive threshold,1269,53,4,77,0.592,0.951,0.955,0.709
BOOKKEEPER,15,naive bayes,no selection,smote,sensitive threshold,1204,118,28,53,0.310,0.654,0.783,0.371
BOOKKEEPER,15,ibk,no selection,smote,sensitive threshold,1287,35,22,59,0.628,0.728,0.851,0.653
BOOKKEEPER,16,random forest,no selection,smote,sensitive threshold,1282,51,3,75,0.595,0.962,0.962,0.716
BOOKKEEPER,16,naive bayes,no selection,smote,sensitive threshold,1212,121,27,51,0.297,0.654,0.782,0.359
BOOKKEEPER,16,ibk,no selection,smote,sensitive threshold,1299,34,19,59,0.634,0.756,0.865,0.670
BOOKKEEPER,17,random forest,no selection,smote,sensitive threshold,1303,41,0,72,0.637,1.000,0.985,0.764
BOOKKEEPER,17,naive bayes,no selection,smote,sensitive threshold,1225,119,21,51,0.300,0.708,0.810,0.377
BOOKKEEPER,17,ibk,no selection,smote,sensitive threshold,1324,20,12,60,0.750,0.833,0.909,0.778
BOOKKEEPER,18,random forest,no selection,smote,sensitive threshold,1293,15,32,76,0.835,0.704,0.846,0.746
BOOKKEEPER,18,naive bayes,no selection,smote,sensitive threshold,1201,107,46,62,0.367,0.574,0.746,0.391
BOOKKEEPER,18,ibk,no selection,smote,sensitive threshold,1294,14,44,64,0.821,0.593,0.791,0.667
BOOKKEEPER,19,random forest,no selection,smote,sensitive threshold,1261,99,10,95,0.490,0.905,0.916,0.598
BOOKKEEPER,19,naive bayes,no selection,smote,sensitive threshold,1241,119,44,61,0.339,0.581,0.747,0.371
BOOKKEEPER,19,ibk,no selection,smote,sensitive threshold,1324,36,47,58,0.617,0.552,0.763,0.553
BOOKKEEPER,20,random forest,no selection,smote,sensitive threshold,1259,127,16,113,0.471,0.876,0.892,0.564
BOOKKEEPER,20,naive bayes,no selection,smote,sensitive threshold,1272,114,59,70,0.380,0.543,0.730,0.386
BOOKKEEPER,20,ibk,no selection,smote,sensitive threshold,1347,39,58,71,0.645,0.550,0.761,0.560
BOOKKEEPER,21,random forest,no selection,smote,sensitive threshold,1286,168,5,99,0.371,0.952,0.918,0.484
BOOKKEEPER,21,naive bayes,no selection,smote,sensitive threshold,1311,143,48,56,0.281,0.538,0.720,0.309
BOOKKEEPER,21,ibk,no selection,smote,sensitive threshold,1385,69,47,57,0.452,0.548,0.750,0.456
